time,e_kin,e_pot_harm,e_tot
   0.0050000000,   0.0026253851,4195.1541116144,4195.1567369996
   0.0100000000,   0.0105015340,4195.1462354644,4195.1567369984
   0.0150000000,   0.0236284268,4195.1331085695,4195.1567369963
   0.0200000000,   0.0420060308,4195.1147309626,4195.1567369934
   0.0250000000,   0.0656342999,4195.0911026898,4195.1567369897
   0.0300000000,   0.0945131750,4195.0622238102,4195.1567369852
   0.0350000000,   0.1286425838,4195.0280943961,4195.1567369799
   0.0400000000,   0.1680224408,4194.9887145329,4195.1567369737
   0.0450000000,   0.2126526476,4194.9440843192,4195.1567369667
   0.0500000000,   0.2625330922,4194.8942038667,4195.1567369589
   0.0550000000,   0.3176636500,4194.8390733003,4195.1567369503
   0.0600000000,   0.3780441829,4194.7786927580,4195.1567369409
   0.0650000000,   0.4436745397,4194.7130623909,4195.1567369306
   0.0700000000,   0.5145545561,4194.6421823634,4195.1567369195
   0.0750000000,   0.5906840548,4194.5660528528,4195.1567369076
   0.0800000000,   0.6720628451,4194.4846740497,4195.1567368949
   0.0850000000,   0.7586907234,4194.3980461579,4195.1567368813
   0.0900000000,   0.8505674727,4194.3061693942,4195.1567368669
   0.0950000000,   0.9476928632,4194.2090439886,4195.1567368517
   0.1000000000,   1.0500666516,4194.1066701842,4195.1567368357
   0.1050000000,   1.1576885817,4193.9990482372,4195.1567368189
   0.1100000000,   1.2705583841,4193.8861784171,4195.1567368012
   0.1150000000,   1.3886757762,4193.7680610065,4195.1567367827
   0.1200000000,   1.5120404625,4193.6446963010,4195.1567367634
   0.1250000000,   1.6406521339,4193.5160846094,4195.1567367433
   0.1300000000,   1.7745104687,4193.3822262536,4195.1567367224
   0.1350000000,   1.9136151318,4193.2431215688,4195.1567367006
   0.1400000000,   2.0579657748,4193.0987709032,4195.1567366780
   0.1450000000,   2.2075620365,4192.9491746181,4195.1567366546
   0.1500000000,   2.3624035424,4192.7943330879,4195.1567366304
   0.1550000000,   2.5224899049,4192.6342467004,4195.1567366053
   0.1600000000,   2.6878207233,4192.4689158562,4195.1567365795
   0.1650000000,   2.8583955836,4192.2983409692,4195.1567365528
   0.1700000000,   3.0342140590,4192.1225224663,4195.1567365253
   0.1750000000,   3.2152757092,4191.9414607878,4195.1567364970
   0.1800000000,   3.4015800810,4191.7551563868,4195.1567364678
   0.1850000000,   3.5931267081,4191.5636097298,4195.1567364378
   0.1900000000,   3.7899151109,4191.3668212961,4195.1567364071
   0.1950000000,   3.9919447970,4191.1647915785,4195.1567363755
   0.2000000000,   4.1992152604,4190.9575210826,4195.1567363430
   0.2050000000,   4.4117259825,4190.7450103273,4195.1567363098
   0.2100000000,   4.6294764311,4190.5272598446,4195.1567362757
   0.2150000000,   4.8524660613,4190.3042701795,4195.1567362408
   0.2200000000,   5.0806943148,4190.0760418903,4195.1567362051
   0.2250000000,   5.3141606203,4189.8425755483,4195.1567361686
   0.2300000000,   5.5528643934,4189.6038717378,4195.1567361312
   0.2350000000,   5.7968050366,4189.3599310565,4195.1567360931
   0.2400000000,   6.0459819391,4189.1107541149,4195.1567360541
   0.2450000000,   6.3003944774,4188.8563415369,4195.1567360143
   0.2500000000,   6.5600420144,4188.5966939593,4195.1567359737
   0.2550000000,   6.8249239002,4188.3318120320,4195.1567359322
   0.2600000000,   7.0950394719,4188.0616964181,4195.1567358900
   0.2650000000,   7.3703880531,4187.7863477938,4195.1567358469
   0.2700000000,   7.6509689546,4187.5057668484,4195.1567358030
   0.2750000000,   7.9367814741,4187.2199542842,4195.1567357583
   0.2800000000,   8.2278248961,4186.9289108166,4195.1567357127
   0.2850000000,   8.5240984921,4186.6326371743,4195.1567356664
   0.2900000000,   8.8256015203,4186.3311340989,4195.1567356192
   0.2950000000,   9.1323332261,4186.0244023451,4195.1567355712
   0.3000000000,   9.4442928417,4185.7124426807,4195.1567355224
   0.3050000000,   9.7614795861,4185.3952558867,4195.1567354728
   0.3100000000,  10.0838926652,4185.0728427571,4195.1567354223
   0.3150000000,  10.4115312722,4184.7452040989,4195.1567353711
   0.3200000000,  10.7443945867,4184.4123407323,4195.1567353190
   0.3250000000,  11.0824817755,4184.0742534906,4195.1567352661
   0.3300000000,  11.4257919924,4183.7309432200,4195.1567352124
   0.3350000000,  11.7743243778,4183.3824107800,4195.1567351579
   0.3400000000,  12.1280780595,4183.0286570430,4195.1567351025
   0.3450000000,  12.4870521517,4182.6696828946,4195.1567350464
   0.3500000000,  12.8512457560,4182.3054892334,4195.1567349894
   0.3550000000,  13.2206579607,4181.9360769709,4195.1567349316
   0.3600000000,  13.5952878409,4181.5614470321,4195.1567348730
   0.3650000000,  13.9751344590,4181.1816003546,4195.1567348136
   0.3700000000,  14.3601968640,4180.7965378893,4195.1567347533
   0.3750000000,  14.7504740922,4180.4062606001,4195.1567346922
   0.3800000000,  15.1459651664,4180.0107694640,4195.1567346304
   0.3850000000,  15.5466690967,4179.6100654710,4195.1567345677
   0.3900000000,  15.9525848800,4179.2041496242,4195.1567345042
   0.3950000000,  16.3637115002,4178.7930229396,4195.1567344398
   0.4000000000,  16.7800479282,4178.3766864465,4195.1567343747
   0.4050000000,  17.2015931218,4177.9551411870,4195.1567343088
   0.4100000000,  17.6283460257,4177.5283882163,4195.1567342420
   0.4150000000,  18.0603055716,4177.0964286028,4195.1567341744
   0.4200000000,  18.4974706783,4176.6592634277,4195.1567341060
   0.4250000000,  18.9398402514,4176.2168937854,4195.1567340368
   0.4300000000,  19.3874131836,4175.7693207832,4195.1567339668
   0.4350000000,  19.8401883544,4175.3165455415,4195.1567338959
   0.4400000000,  20.2981646305,4174.8585691938,4195.1567338243
